plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
11 Com b,326.03,19.4,1.29,0.231,,,,,1,RV,2008,185.1795542,17.79265278,0.986,4.783,88.8889,2.7,12.0698,4830,2.31,-0.35,0.32,1.5,0.05,0.005,,,,,1.77295,0.3,0.386245,79,0.1,0.09,0.32,1.5,0.05,0.005,,,,,1.70493,0.3,0.386245,79,-0.1,0.09,1.2,1,-1,,,,,
11 Oph b,730000,21,243,,,,,,1,Imaging,2007,245.6041667,-24.0872222,,,145,0.0162,,2375,4.25,,365000,3,55,,,,,,20,0.005,,175,0.5,,365000,3,55,,,,,,20,0.005,,175,-0.5,,,,,0.011,0.002,0.002,,
11 UMi b,516.22,11.0873,1.54,0.08,,,,,1,RV,2009,229.2745001,71.82387778,1.391,5.024,122.1,1.8,44.65,4340,1.6,0.04,3.25,1.10896,0.07,0.03,,,,,2.89988,0.25,1.4288,70,0.15,0.04,3.25,1.10896,0.07,0.03,,,,,2.76838,0.25,1.4288,70,-0.15,0.04,1.5,0,0,1.56,0.54,0.54,,
14 And b,185.84,4.68383,0.823151,0,,,,,1,RV,2008,352.8216666,39.23640278,1.029,5.22,79.1766,2.2,11.38,4813,2.63,-0.24,0.23,0.22621,0.0191551,,,,,,1.72959,0.1,0.26,20,0.07,0.03,0.23,0.22621,0.0191551,,,,,,1.65719,-0.2,0.26,20,-0.07,-0.03,2.6,,,,,,0.095,
14 Her b,1773.4,4.64,2.77,0.369,,,,,1,RV,2003,242.6008751,43.81836944,0.877,6.61,17.88,1.066,0.912364,5387.61,4.51733,0.459932,2.5,0.19,0.05,0.005,,,,,0.08,0.0420001,0.0328307,44,0.06,0.03,2.5,0.19,0.05,0.005,,,,,-0.08,0.1399999,0.0328307,44,0.06,0.03,1.6,0.5,-0.5,5.1,,,0.161493,-5.06131
16 Cyg B b,799.5,1.68,1.66027,0.689,,,,,1,RV,1997,295.4670834,50.51791944,0.661,6.25,21.22,0.956,1.1176,5674.41,4.35488,0.08,0.6,0.07,0.0277059,0.011,,,,,0.1,0.026,0.0380356,44,0.06,0.04,0.6,0.07,0.0277059,0.011,,,,,-0.1,0.025,0.0380356,44,0.06,0.04,2.17727,0.5,0.5,8,1.8,1.8,0.147649,-5.08366
18 Del b,993.3,10.298,2.58655,0.08,,,,,1,RV,2008,314.6081667,10.83936944,0.934,5.51,75.3012,2.33,9,4979,2.82,-0.052,3.2,0.36138,0.0434657,0.01,,,,,1.7998,0.05,0.31,18,0.06,0.023,3.2,0.36138,0.0434657,0.01,,,,,1.71768,0.05,0.31,18,-0.06,0.023,,,,,,,,
1RXS 1609 b,,14,330,,,1.7,,,1,Imaging,2008,242.375,-21.0827778,,,145,0.73,1.35,4060,,,,2,0,,,,,,20,0.05,,200,,,,3,0,,,,,,20,0.05,,200,,,,,,0.011,0.002,0.002,,
1SWASP J1407 b,3725,20,3.9,,,,,,1,Transit,2012,211.95,-39.76194447,,12.4,133,0.9,0.99,4400,,,900,6,1.7,,,,,,12,,0.11,100,,,900,6,1.7,,,,,,12,,0.11,100,,,,,,0.016,,,,
24 Sex b,452.8,1.83564,1.333,0.184,,,,,2,RV,2011,155.8680417,-0.902161111,0.92,6.61,77.4593,1.81,4.9,5098,3.5,-0.01,2.1,0.108126,0.004,0.029,,,,,2.34913,0.08,0.08,44,0.1,0.05,4.5,0.108126,0.009,0.029,,,,,2.21479,0.08,0.08,44,-0.1,0.05,2.77,0.5,-0.5,2.7,0.4,0.4,,-5.1
24 Sex c,910,1.51716,2.24032,0.412,,,,,2,RV,2011,155.8680417,-0.902161111,0.92,6.61,77.4593,1.81,4.9,5098,3.5,-0.01,21,0.200171,0.0508144,0.064,,,,,2.34913,0.08,0.08,44,0.1,0.05,21,0.200171,0.0508144,0.064,,,,,2.21479,0.08,0.08,44,-0.1,0.05,2.77,0.5,-0.5,2.7,0.4,0.4,,-5.1
2M 0103-55 (AB) b,,13,84,,,,,,1,Imaging,2013,15.9,-55.2656,,,47.2,0.4,,,,,,1,,,,,,,3.1,,,,,,,1,,,,,,,3.1,,,,,,,,,0.03,,,,
2M 0122-24 b,,20,52,,,1,,,1,Imaging,2013,20.7125,-24.6142,,,36,0.4,,,,,,7,6,,,0.2,,,4,0.05,,,,,,7,6,,,0.2,,,4,0.05,,,,,,,,0.12,0.01,0.01,,
2M 0219-39 b,,13.9,156,,,1.44,,,1,Imaging,2015,34.84166667,-39.42305557,,,39.4,0.11,0.27,3064,,,,1.1,10,,,0.03,,,2.6,0.01,0.01,76,,,,1.1,10,,,0.03,,,2.6,0.01,0.01,76,,,,,,,,,,
2M 0746+20 b,4640,30,2.897,0.487,138.2,0.97,,,1,Imaging,2010,116.6791667,20.0088889,,,12.21,0.12,0.089,2205,,,25,25,0.005,0.003,0.5,0.06,,,0.05,0.09,0.003,50,,,25,25,0.005,0.003,0.5,0.06,,,0.05,0.09,0.003,50,,,,,,,,,,
2M 2206-20 b,8686,30,4.48,0,44.3,1.3,,,1,Imaging,2010,331.5958333,-20.785,,,26.67,0.13,0.11,2350,,,69.4,70,0.4,,0.7,0.18,,,2.63,0.05,0.015,80,,,69.4,20,0.4,,0.7,0.18,,,2.63,0.05,0.015,80,,,,,,,,,,
2M J2126-81 b,,13.3,6900,,,,,,1,Imaging,2016,321.3666667,-81.64111113,,9,24.75,0.4,,,,,,1.7,,,,,,,4.25,,,,,,,1.7,,,,,,,4.25,,,,,,,,,0.027,0.017,0.017,,
2MASS J01225093-2439505 b,,24.5,52,,,,,,1,Imaging,2013,20.712243,-24.664049,,14.24,,0.4,,3530,,,,2.5,6,,,,,,,0.05,,50,,,,-2.5,-6,,,,,,,-0.05,,-50,,,,,,0.12,0.01,-0.01,,
2MASS J02192210-3925225 b,,13.9,156,,,1.44,,,1,Imaging,2015,34.842106,-39.422928,,,,0.11,0.28,3064,4.59,,,1.1,10,,,0.03,,,,0.01,0.01,76,0.06,,,-1.1,-10,,,-0.03,,,,-0.01,-0.01,-76,-0.06,,6.5,0.4,-0.4,0.035,0.005,-0.005,,
2MASS J04414489+2301513 b,,7.5,15,,,,,,1,Imaging,2010,70.437073,23.030941,,,,0.02,,,,,,2.5,,,,,,,,,,,,,,-2.5,,,,,,,,,,,,,,,,0.001,,,,
2MASS J12073346-3932539 b,,4,46,,,,,,1,Imaging,2004,181.889447,-39.548332,,20.15,,0.02,,,,,,1,5,,,,,,,,,,,,,-1,-5,,,,,,,,,,,,,,,0.008,0.004,-0.003,,
2MASS J19383260+4603591 b,416,1.9,0.92,,,,,,1,Eclipse Timing Variations,2015,294.635865,46.066418,,,,0.6,,,,,2,0.1,0.02,,,,,,,0.03,,,,,2,0.1,0.02,,,,,,,0.03,,,,,,,,,,,,
2MASS J21402931+1625183 A b,7340,20.95,3.53,0.26,46.2,0.92,,,1,Imaging,2009,325.122159,16.421759,,,25,0.08,0.12,2300,,,584,83.79,0.15,0.06,2.5,0.39,,,10,0.06,0.05,80,,,584,-20.95,0.15,0.06,-8.7,0.39,,,10,0.06,-0.04,80,,,,,,,,,,
2MASS J22362452+4751425 b,,12.5,230,,,,,,1,Imaging,2016,339.102203,47.86182,,12.51,,0.6,,4045,,,,1.5,20,,,,,,,0.05,,35,,,,-1.5,-20,,,,,,,-0.05,,-35,,,,,,0.12,0.01,-0.01,,
30 Ari B b,335.1,9.88,0.995,0.289,,,,,1,RV,2009,39.24016667,24.64809444,0.51,7.091,40.783,1.16,1.13,6300,4.5,0.12,2.5,0.94,0.012,0.092,,,,,1.16327,0.04,0.03,60,0.05,0.08,2.5,0.94,0.012,0.092,,,,,1.10051,-0.04,-0.03,-60,0.05,0.08,39,1,1,0.91,0.03,0.03,,
4 UMa b,269.3,7.13242,0.876999,0.432,,,,,1,RV,2007,130.05375,64.32787222,1.197,5.787,78.5,1.234,34.6101,4415,1.8,-0.25,1.96,0.630741,0.0357887,0.024,,,,,1.6,0.15,1.10752,70,0.15,0.04,1.96,0.630741,0.0357887,0.024,,,,,1.6,0.15,1.10752,70,-0.15,0.04,,,,4.604,2,2,0.124,
42 Dra b,479.1,3.73203,1.19,0.38,,,,,1,RV,2009,276.4957917,65.56354722,1.187,4.833,96.5251,0.98,22.04,4200,1.71,-0.46,6.2,0.393113,0.01,0.06,,,,,1.9001,0.05,0.48,70,0.05,0.05,6.2,0.393113,0.01,0.06,,,,,1.82812,0.05,0.48,70,-0.05,0.05,0,0,0,9.49,1.76,1.76,,
47 UMa b,1078,2.53,2.1,0.032,,,,,3,RV,1996,164.8675833,40.43012222,0.624,5.03,14.0627,1.063,1.24,5882.31,4.37694,0.0431014,2,0.07,0.02,0.014,,,,,0.0496149,0.0220001,0.04,44,0.06,0.03,2,0.06,0.02,0.014,,,,,0.0492669,0.0289999,0.04,44,0.06,0.03,2.80267,0.5,0.5,7.4,1.9,1.9,0.154,-5.02477
47 UMa c,2391,0.54,3.6,0.098,,,,,3,RV,2002,164.8675833,40.43012222,0.624,5.03,14.0627,1.063,1.24,5882.31,4.37694,0.0431014,93.5,0.066,0.1,0.047,,,,,0.0496149,0.0220001,0.04,44,0.06,0.03,93.5,0.073,0.1,0.096,,,,,0.0492669,0.0289999,0.04,44,0.06,0.03,2.80267,0.5,0.5,7.4,1.9,1.9,0.154372,-5.02477
47 UMa d,14002,1.64,11.6,0.16,,,,,3,RV,2009,164.866562,40.430256,0.61,5.05,13.97,1.03,1.24,5892,4.27,0,4018,0.29,2.1,0.09,,,,,1.91,0.05,0.04,70,0.1,0.07,5095,0.48,2.9,0.16,,,,,1.91,0.05,0.04,70,-0.1,0.07,2.9,,,7.4,1.9,1.9,0.154,-5.02
51 Eri b,14965,7,13.2,0.21,138,0.76,,,1,Imaging,2015,69.4005555,-2.4735486,0.28,5.223,29.4,1.75,,,,-0.027,12775,5,0.2,0.15,15,,,,0.3,0.05,,,,0.045,4380,5,-0.2,0.15,13,,,,0.3,0.05,,,,-0.045,71.8,3.6,-3.6,0.02,0.006,0.006,,
51 Peg b,4.230785,0.46,0.0521068,0.013,80,1.9,,,1,RV,1995,344.3660417,20.76868333,0.666,5.45,15.6079,1.054,1.02451,5786.68,4.44905,0.199853,3.60E-05,0.01,0.000868447,0.012,19,0.3,,,0.0931234,0.039,0.0355286,44,0.06,0.03,-3.60E-05,0.06,0.000868447,0.012,10,0.3,,,0.0920248,0.036,0.0355286,44,0.06,0.03,2.57216,0.5,0.5,4,2.5,2.5,0.148345,-5.07959
55 Cnc b,14.651,0.8306,0.115227,0.0159,90,,,,5,RV,1997,133.1505417,28.33138889,0.869,5.96,12.3411,0.91,0.943,5196,4.45,0.314513,0.0001,0.0033,1.00E-06,0.008,,,,,0.115294,0.01,0.01,24,0.01,0.03,0.0001,-0.0033,-1.00E-06,0.008,,,,,0.11318,-0.01,0.01,24,-0.01,0.03,2.5,0.5,-0.5,10.2,2.5,2.5,0.165,-5.04349
55 Cnc c,44.38,0.1714,0.241376,0.07,90,,,,5,RV,2002,133.1505417,28.33138889,0.869,5.96,12.3411,0.91,0.943,5196,4.45,0.314513,0.007,0.0055,2.60E-05,0.02,,,,,0.115294,0.01,0.01,24,0.01,0.03,0.007,-0.0055,-2.60E-05,0.02,,,,,0.11318,-0.01,0.01,24,-0.01,0.03,2.5,0.5,-0.5,10.2,2.5,2.5,0.165,-5.04349
55 Cnc d,4909,3.878,5.503,0.02,90,,,,5,RV,2002,133.1505417,28.33138889,0.869,5.96,12.3411,0.91,0.943,5196,4.45,0.314513,30,0.068,0.03,0.008,6.8,,,,0.115294,0.01,0.01,24,0.01,0.03,30,-0.068,-0.03,0.008,6.8,,,,0.11318,-0.01,0.01,24,-0.01,0.03,2.5,0.5,-0.5,10.2,2.5,2.5,0.165,-5.04349
55 Cnc e,0.7365417,0.02542,0.01544,0,83.3,0.177536225,72.4,0.41,5,RV,2004,133.1505417,28.33138889,0.869,5.96,12.3411,0.91,0.943,5196,4.45,0.314513,2.80E-06,0.00098,9.00E-05,,0.9,0.007137135,12,0.05,0.115294,0.01,0.01,24,0.01,0.03,2.80E-06,-0.00098,-9.00E-05,inf,-0.8,0.007137135,12,-0.05,0.11318,-0.01,0.01,24,-0.01,0.03,2.5,0.5,-0.5,10.2,2.5,2.5,0.165,-5.04349
55 Cnc f,261.2,0.172877,0.788,0.32,90,,,,5,RV,2008,133.1505417,28.33138889,0.869,5.96,12.3411,0.91,0.943,5196,4.45,0.314513,0.4,0.0106153,0.001,0.05,,,,,0.115294,0.01,0.01,24,0.01,0.03,0.4,0.0106153,-0.001,0.05,,,,,0.11318,-0.01,0.01,24,-0.01,0.03,2.5,0.5,-0.5,10.2,2.5,2.5,0.165,-5.04349
6 Lyn b,874.774,2.21,2.18,0.134,2,,,,1,RV,2008,97.69641666,58.16345556,0.934,5.86,56.9,1.7,5.49553,4978,3.16,-0.13,12,0.11,0.05,0.052,79,,,,2.5,0.1,0.175876,18,0.05,0.02,12,-0.16,-0.06,0.052,1,,,,2.5,-0.2,0.175876,18,-0.05,0.02,1.32,,,,,,0.127,
61 Vir b,4.215,0.016,0.050201,0.12,,,,,3,RV,2010,199.6040417,-18.30861111,0.709,4.866,8.55505,0.95,0.978547,5577,4.34,0.05,0.0006,0.0016,5.00E-06,0.11,,,,,0.0161324,0.03,0.01,33,0.03,,0.0006,0.0016,5.00E-06,0.11,,,,,0.0160712,0.03,-0.01,-33,-0.03,,2.2,,,8.96,2.76,-3.08,0.156,-5.04
61 Vir c,38.021,0.057,0.2175,0.14,,,,,3,RV,2010,199.6040417,-18.30861111,0.709,4.866,8.55505,0.95,0.978547,5577,4.34,0.05,0.034,0.003,0.0001,0.06,,,,,0.0161324,0.03,0.01,33,0.03,,0.034,-0.003,0.0001,0.06,,,,,0.0160712,0.03,-0.01,-33,-0.03,,2.2,,,8.96,2.76,-3.08,0.156,-5.04
61 Vir d,123.01,0.072,0.476,0.35,,,,,3,RV,2010,199.6040417,-18.30861111,0.709,4.866,8.55505,0.95,0.978547,5577,4.34,0.05,0.55,0.008,0.001,0.09,,,,,0.0161324,0.03,0.01,33,0.03,,0.55,0.008,0.001,0.09,,,,,0.0160712,0.03,-0.01,-33,-0.03,,2.2,,,8.96,2.76,-3.08,0.156,-5.04
7 CMa b,796,2.46,1.93,0.22,,,,,1,RV,2011,99.17083334,-19.25570833,1.061,3.95,19.75,1.34,2.3,4761,3.25,0.21,7.4,0.14,0.01,0.07,,,,,0.09,0.13,0.1,79,0.1,0.05,7.4,0.14,0.01,0.07,,,,,0.09,0.13,0.1,79,-0.1,0.05,1.15,,,,,,,
70 Vir b,116.6926,7.4,0.481,0.399,,,,,1,RV,1996,202.108125,13.78018889,0.714,4.97,17.9856,1.101,1.968,5544.6,4.06791,-0.0122615,0.0014,0.02,0.003,0.002,,,,,0.0779724,0.0120001,0.047,44,0.06,0.03,-0.0014,-0.02,-0.003,-0.002,,,,,0.077303,0.0119999,0.047,44,0.06,0.03,2.68439,0.5,0.5,7.77,0.51,-0.51,0.165349,-4.98636
75 Cet b,691.9,2.7597,1.97678,0.117,,,,,1,RV,2012,38.03933333,-1.034816667,1.009,5.364,81.4332,2.49,10.5,4846,2.63,0.02,3.6,0.211572,0.0555905,0.048,,,,,3.09763,0.02,1,18,0.05,0.04,3.6,0.211572,0.0555905,-0.048,,,,,2.87863,-0.27,1,18,-0.05,0.04,1.77,,,,,,,
8 UMi b,93.4,1.52093,0.490206,0.06,,,,,1,RV,2015,224.2013334,74.90091389,0.985,6.843,162.84,1.8,9.9,4847.4,2.57,-0.03,4.5,0.145785,0.0181748,0.18,,,,,5.88,0.1,0.4,7.5,0.03,0.02,4.5,0.145785,0.0181748,0.18,,,,,-5.49,0.1,0.4,7.5,-0.03,0.02,3.6,,,1.7,0.2,0.2,,
81 Cet b,952.7,4.31096,2.28088,0.206,,,,,1,RV,2008,39.42408333,-3.396066667,1.021,5.65,97.2,2.4,11,4785,2.35,-0.07,8.8,0.36306,0.0928283,0.029,,,,,9.2,0.1,0.1,25,0.08,0.04,8.8,0.36306,0.0928283,0.029,,,,,9.2,-0.4,0.1,-25,-0.08,0.04,1.8,,,,,,,
91 Aqr b,181.4,3.07016,0.688457,0.027,,,,,1,RV,2013,348.972,-9.087694444,1.107,4.25,45.9,1.4,11,4665,2.52,-0.03,0.1,,0.039987,0.026,,,,,0.6,0.1,0.1,18,0.05,0.1,0.1,,0.039987,0.026,,,,,0.6,0.1,0.1,18,-0.05,0.1,3.9,0.5,-0.5,3.56,0.63,0.63,0.105,
AB Pic b,,13.5,260,,,,,,1,Imaging,2005,94.803802,-58.05431,0.883,9.128,50.19,,,4875,,-0.64,,0.5,,,,,,,0.55,,,,,,,0.5,,,,,,,-0.53,,,,,,12,,,0.03,,,,
alf Tau b,628.96,6.47,1.46,0.1,,,,,1,RV,2015,68.980164,16.509302,1.52,0.85,20.43,1.13,45.1,4055,1.2,-0.27,0.9,0.53,0.27,0.05,,,,,0.32,0.11,0.1,70,0.1,0.05,0.9,0.53,0.27,0.05,,,,,0.32,0.11,0.1,70,-0.1,0.05,,,,6.6,2.4,2.4,,
alpha Ari b,380.8,1.8,1.1296,0.25,,,,,1,RV,2011,31.792875,23.46277778,1.16,1.996,20.1776,1.5,13.9,4553,2.49,-0.09,0.3,0.2,0.0622865,0.03,,,,,0.102299,0.2,0.3,15,0.21,0.03,0.3,0.2,0.0622865,0.03,,,,,0.101273,0.2,0.3,15,0.21,0.03,3.1,1,,,,,0.118,
alpha Cen B b,3.2357,0.00354639,0.0418506,0,,,,,1,RV,2012,219.9141251,-60.83948056,0.88,1.33,1.25483,0.934,0.91,5214,,0.3,0.0008,0.000302226,0.000697544,,,,,,0.0421522,0.006,0.03,33,,,0.0008,0.000302226,0.000697544,,,,,,0.0394984,0.006,0.03,33,,,1,,,,,,,
AS 205A b,24.84,19.25,0.162,0.35,,,,,1,RV,2017,242.8791667,-18.6402778,,12.4,140,0.9,3.7,4300,,0,0.03,1.96,0.04,0.06,,,,,,,,300,,0.5,0.03,1.96,0.04,0.06,,,,,,,,300,,0.5,,,,,,,,
BD +14 4559 b,268.94,1.51929,0.775866,0.29,,,,,1,RV,2009,318.399375,14.68938333,0.98,9.63,49.74,0.86,0.725686,5008,4.6,0.1,0.99,0.188129,0.0451487,0.03,,,,,0.61,0.15,0.0278105,20,0.05,0.07,0.99,0.188129,0.0451487,0.03,,,,,-0.59,0.15,0.0278105,20,-0.05,0.07,2.5,1,-1,,,,,
BD +20 2457 b,379.63,11.8883,1.04992,0.15,,,,,2,RV,2009,154.1869292,19.89136111,1.25,9.75,200,1.06,32.9639,4137,1.51,-1,2.01,1.6104,0.0694334,0.03,,,,,0,0.21,1.05484,10,0.05,0.07,2.01,1.6104,0.0694334,0.03,,,,,336.5,0.21,1.05484,-10,-0.05,0.07,1,1,1,,,,,
BD +20 2457 c,621.99,6.90191,1.45701,0.18,,,,,2,RV,2009,154.1869292,19.89136111,1.25,9.75,424.628,1.06,32.9639,4137,1.51,-1,10.2,0.966964,0.0975269,0.06,,,,,114.455,0.21,1.05484,10,0.05,0.07,10.2,0.966964,0.0975269,0.06,,,,,74.3658,0.21,1.05484,-10,-0.05,0.07,1,1,1,,,,,
BD +48 738 b,392.6,1.2654,1.11234,0.2,,,,,1,RV,2012,40.7102625,49.58694444,1.246,9.14,,1.19,11.7902,4414,2.24,-0.09,5.5,0.200784,0.075497,0.1,,,,,,0.24,0.377339,15,0.06,0.08,5.5,0.200784,0.075497,0.1,,,,,,0.24,0.377339,15,-0.06,0.08,0.5,0.5,0.5,,,,,
BD -08 2823 b,5.6,0.045941,0.0558236,0.15,,,,,2,RV,2010,150.1997501,-9.516741667,1.071,9.9889,41.18,0.74,1.27853,4746,4.13,-0.07,0.02,0.00316456,0.00176521,0.15,,,,,0.41,0.07,0.066197,63,0.26,0.03,0.02,0.00316456,0.00176521,0.15,,,,,-0.4,0.07,0.066197,63,-0.26,0.03,1.4,,,4.5,4,4,,-4.8
BD -08 2823 c,237.6,0.33,0.68,0.19,,,,,2,RV,2010,150.1997501,-9.516741667,1.071,9.9889,41.18,0.74,1.27853,4746,4.13,-0.07,1.5,0.03,0.02,0.09,,,,,0.41,0.07,0.066197,63,0.26,0.03,1.5,0.03,0.02,0.09,,,,,-0.4,0.07,0.066197,63,-0.26,0.03,1.4,,,4.5,4,4,,-4.8
BD -10 3166 b,3.4878,0.429903,0.0437823,0.0104,,1.03,,,1,RV,2000,164.6199167,-10.77036111,0.903,10.08,82.15,0.92,0.745254,5393.03,4.68527,0.381727,0.0001,0.0174084,0.000729706,0.0104,,,,,3.17,0.046,0.0293836,44,0.06,0.03,0.0001,0.0174084,0.000729706,0.0192,,,,,-2.95,0.024,0.0293836,44,0.06,0.03,0.921575,0.5,0.5,4.18,,,0.215648,-4.90713
BD+15 2375 b,153.22,1.061,0.576,0.001,,,,,1,RV,2016,176.482174,14.616381,1.05,10.31,774,1.08,8.95,4649,2.61,-0.22,0.44,0.27,0.027,0.25,,,,,165,0.14,1.45,30,0.12,0.08,0.44,-0.27,0.027,0.001,,,,,165,0.14,1.45,30,-0.12,0.08,2.5,0.5,-0.5,7.41,3.81,-2.52,,
BD+15 2940 b,137.48,1.11,0.539,0.26,,,,,1,RV,2013,240.095566,15.54693,1.075,9.046,470.69,1.1,14.7,4796,2.8,0.28,0.34,,,0.1,,,,,60.08,0.2,2.8,117,0.45,0.07,0.34,,,0.1,,,,,-47.86,0.2,2.8,117,-0.45,0.07,2.3,0.8,-0.8,7.1,4.2,4.2,,
BD+20 1790 b,7.78287,6.37,0.066,0.22,,,,,1,RV,2010,110.931612,20.416334,,,27.68,0.63,0.71,4410,4.53,0.3,0.00077,1.35,0.005,0.07,,,,,0.24,0.09,0.03,,0.17,0.2,-0.00076,-1.35,-0.006,-0.09,,,,,-0.24,-0.09,-0.03,,-0.17,-0.2,10.03,0.47,-0.47,0.058,0.023,-0.023,,
BD+20 274 b,578.2,4.2,1.3,0.21,,,,,1,RV,2012,25.920324,21.005314,1.358,9.36,1083.64,0.8,17.3,4296,1.99,-0.46,5.4,,,0.06,,,,,504.1,0.2,0.9,10,0.05,0.07,-5.4,,,-0.06,,,,,-261.14,-0.2,-0.9,-10,-0.05,-0.07,2,1.5,-1.5,,,,,
BD+20 274 c,578.2,4.2,1.3,,,,,,1,RV,2012,25.9208333,21.005,,9.36,,0.8,17.3,4296,,-0.46,3.4,,,,,,,,,0.2,0.9,10,,0.07,3.4,,,,,,,,,0.2,0.9,10,,0.07,,,,,,,,
BD+20 594 b,41.6855,0.05129,0.241,0,89.55,0.199,,,1,Transit,2016,53.650966,20.599232,0.918,11.038,173.13,0.96,0.928,5766,4.5,-0.15,0.003,0.01888,0.019,,0.17,0.012,,,7.7,0.03,0.055,99,0.08,0.05,-0.0031,-0.01919,0.019,,0.14,0.0098,,,-7.07,-0.03,0.04,99,-0.08,0.05,3.3,0.31,-0.31,3.34,1.95,1.49,,
BD+24 4697 b,145.081,53,0.5,0.50048,,,,,1,RV,2016,345.4125,25.78805558,,9.74,48.8,0.75,,5077,,-0.11,0.016,3,0.08,0.00043,,,,,,0.05,,32,,0.02,0.016,3,0.08,0.00043,,,,,,0.05,,32,,0.02,,,,,,,,
BD+26 1888 b,536.78,26,1.19,0.2675,,,,,1,RV,2016,135.6291667,25.88944447,,9.76,38,0.76,,4748,,0.02,0.25,2,0.05,0.0016,,,,,,0.08,,87,,0.04,0.25,2,0.05,0.0016,,,,,,0.08,,87,,0.04,,,,,,,,
BD+49 828 b,2590,1.6,4.2,0.35,,,,,1,RV,2015,45.640529,49.730011,0.05,9.38,407.63,1.52,7.6,4943,2.85,-0.19,300,0.4,0.32,0.24,,,,,47.13,0.22,1.3,30,0.09,0.06,180,0.2,0.2,0.1,,,,,-38.28,0.22,1.3,30,-0.09,0.06,1.7,0.8,-0.8,2.34,1.2,-0.8,,
BD-06 1339 b,3.8728,0.027,0.0428,0,,,,,3,RV,2013,88.251183,-5.994844,1.33,9.7,20.09,0.7,,4324,4.74,-0.14,0.0004,0.004,0.0007,,,,,,0.11,,,100,0.02,0.17,0.0004,0.004,0.0007,,,,,,-0.11,,,100,-0.02,0.17,0.57,,,4.4,4,4,,
BD-06 1339 c,125.94,0.17,0.435,0.31,,,,,3,RV,2013,88.251183,-5.994844,1.33,9.7,20.09,0.7,,4324,4.74,-0.14,0.44,0.03,0.007,0.11,,,,,0.11,,,100,0.02,0.17,0.44,0.03,0.007,-0.11,,,,,-0.11,,,100,-0.02,0.17,0.57,,,4.4,4,4,,
BD-06 1339 d,500,0.091,1.06,0.04,,,,,3,RV,2014,88.25,-5.9947,,6.69,20,0.7,,4324,,-0.14,32,0.057,0.07,0.25,,,,,1,,,100,,0.17,26,0.063,0.07,0.04,,,,,1,,,100,,0.17,,,,4.4,4,4,,
BD-11 4672 b,1667,0.53,2.28,0.05,,,,,1,RV,2014,278.370148,-11.636039,1.22,9.99,27.23,0.57,0.52,4475,4.1,-0.48,33,0.05,0.07,0.05,,,,,0.2,0.01,0.02,100,0.36,0.05,33,0.05,0.07,0.05,,,,,-0.19,-0.01,0.02,100,-0.36,0.05,2,,,4.4,4,4,,
bet Cnc b,605.2,7.8,1.67364,0.08,,,,,1,RV,2014,124.1289583,9.185663889,1.48,3.52,92.99,1.7,47.2,4092.1,1.4,-0.29,4,0.8,0.0336348,0.02,,,,,1.7,0.1,1.3,17.5,0.1,0.06,4,0.8,0.0336348,0.02,,,,,1.7,0.1,-1.3,-17.5,-0.1,0.06,6.9,0.8,-0.8,1.85,0.34,0.34,,
bet UMi b,522.3,6.1,1.4219,0.19,,,,,1,RV,2014,222.6766667,74.155475,1.47,2.08,40.14,1.4,38.3,4126,1.5,-0.27,2.7,1,0.0678866,0.02,,,,,0.2,0.2,1.1,25,0.1,0.07,2.7,1,0.0678866,0.02,,,,,0.2,0.2,-1.1,25,-0.1,0.07,1.7,1.4,-1.4,2.95,1.03,-1.03,,
beta Cir b,,56,6656,,,,,,1,Imaging,2015,229.3791667,-58.80111113,,,30.56,1.96,,8676,,,,7,,,,,,,0.18,0.003,,33,,,,7,,,,,,,0.18,0.001,,33,,,,,,0.367,,,,
beta Gem b,589.64001,2.9,1.75739,0.02,,,,,1,RV,1993,116.3306667,28.02631111,1,1.15,10.3584,2.1,8.31,4946,3.07,0.09,0.81,0.1,0.0293341,0.03,,,,,0.0290512,0.08,0.09,18,0.06,0.04,0.81,0.1,0.0293341,0.03,,,,,0.0288886,-0.08,-0.09,-18,-0.06,0.04,,,,0.98,0.13,-0.13,0.14,
beta Pic b,13288,9,13.18,0.323,89.01,1.65,,,1,Imaging,2009,86.82116667,-51.06671389,0.168,3.861,19.3,1.73,,,,,47,3,0.09,0.05,0.36,0.06,,,0.2,0.05,,,,,47,3,0.09,0.05,0.36,0.06,,,0.2,0.05,,,,,,,,0.04,0.004,0.004,,
CD-35 2722 b,,31,67,,,,,,1,Imaging,2011,92.33004292,-35.82533225,,10.98,21.3,0.4,,3680,,0.04,,8,4,,,,,,1.4,0.05,,100,,0.5,,8,4,,,,,,1.4,0.05,,100,,0.5,,,,0.1,0.05,0.05,,
