plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
Kepler-970 b,16.73652231,0.0231879,0.113697,0,,0.247,,,1,Transit,2016,289.62525,40.70872222,,,350,0.7,0.67,4511,4.64,-0.08,2.70E-05,0.0036594,0.00243637,,,0.00081,,,18.73,0.04,0.03,70.69,0.03,0.161,2.70E-05,0.0036594,0.00243637,,,0.04919,,,26.52,0.05,0.04,70.59,-0.03,0.176,,,,4.68,5.99,-2.81,,
Kepler-971 b,9.59070716,0.0158698,0.084658,0,,0.19,,,1,Transit,2016,284.0945834,41.18283333,,,345,0.88,0.85,5431,4.54,-0.06,2.32E-05,0.00187817,0.00160337,,,0.0003,,,35.44,0.04,0.09,86,0.04,0.157,2.32E-05,0.00187817,0.00160337,,,0.0407,,,26.54,0.06,0.06,112.52,-0.1,0.177,,,,4.47,6.27,-2.77,,
Kepler-972 b,7.03932553,0.0714653,0.0753112,0,,0.415,,,1,Transit,2016,295.8287084,43.4255,,,1304,1.15,1.22,6146,4.33,0.04,1.61E-05,0.0379323,0.00305611,,,0.00105,,,428.5,0.16,0.4,204.83,0.12,0.143,1.61E-05,0.0379323,0.00305611,,,0.23295,,,230.37,0.12,0.2,260.44,-0.2,0.158,,,,2.82,1.53,-1.14,,
Kepler-973 b,49.6077331,0.0144664,0.251269,0,,0.175,,,1,Transit,2016,290.16525,49.92386111,,,297,0.86,0.78,5213,4.58,-0.06,0.0001208,0.000558925,0.00418782,,,0.00078,,,8.54,0.03,0.02,65.87,0.01,0.113,0.0001208,0.000558925,0.00418782,,,0.01222,,,9.32,0.03,0.02,62.75,-0.01,0.096,,,,2.29,1.64,-0.852,,
Kepler-974 b,4.19449651,0.0117248,0.0409318,0,,0.14,,,1,Transit,2016,285.0130833,40.22075,,,121,0.52,0.5,3687,4.76,0.07,5.03E-06,0.00244865,0.000682197,,,0.00024,,,6.44,0.02,0.02,38.83,0.02,0.077,5.03E-06,0.00244865,0.000682197,,,0.03076,,,6.49,0.02,0.02,36.96,-0.02,0.08,,,,4.37,5.75,-2.62,,
Kepler-975 b,1.97034246,0.0112658,0.0285538,0,,0.132,,,1,Transit,2016,290.5485417,38.49527778,,,404,0.8,0.75,4897,4.59,0.07,2.36E-06,0.00173821,0.000475897,,,0.00017,,,19.39,0.04,0.03,90.72,0.02,0.147,2.36E-06,0.00173821,0.000475897,,,0.01283,,,18.7,0.04,0.03,106.8,-0.04,0.168,,,,3.89,6.23,-2.2,,
Kepler-976 b,105.9564148,0.0503054,0.418342,0,,0.353,,,1,Transit,2016,289.8696251,46.72969444,,,1020,0.87,0.83,5232,4.55,0.07,0.0004626,0.00751103,0.00697236,,,0.00144,,,69.7,0.04,0.05,51.16,0.03,0.156,0.0004626,0.00751103,0.00697236,,,0.04256,,,53.49,0.04,0.04,66.39,-0.07,0.162,,,,4.68,6.47,-2.94,,
Kepler-977 b,26.85328322,0.0211858,0.167537,0,,0.234,,,1,Transit,2016,291.5162084,42.24819444,,,664,0.87,0.83,5315,4.55,-0.01,6.39E-05,0.00204516,0.00288857,,,8.00E-05,,,47.59,0.04,0.06,84.55,0.03,0.153,6.39E-05,0.00204516,0.00288857,,,0.02992,,,38.36,0.05,0.04,105.24,-0.07,0.163,,,,4.57,6.02,-2.85,,
Kepler-978 b,49.6221509,0.0267373,0.270303,0,,0.267,,,1,Transit,2016,286.7107083,43.04344444,,,624,1.07,1.09,6002,4.38,-0.01,0.000171,0.00852286,0.0063155,,,0,,,141.54,0.08,0.25,81.98,0.08,0.145,-0.000171,0.00852286,0.0063155,,,0.111,,,68.11,0.07,0.12,84.89,-0.15,0.193,,,,3.63,1.79,-1.9,,
Kepler-979 b,8.0880135,0.0225477,0.0752791,0,,0.243,,,1,Transit,2016,300.3712917,46.40827778,,,606,0.87,0.83,5310,4.54,-0.02,1.14E-05,0.00403122,0.00158634,,,0.00375,,,62.21,0.06,0.07,205.13,0.04,0.147,-1.14E-05,0.00403122,0.00158634,,,0.05425,,,42.17,0.05,0.05,136.81,-0.07,0.167,,,,4.57,5.76,-2.81,,
